,Player_Name,Country,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
6544,IS Sodhi,NZ,4.0,0,31,2,7.75,1,Bangladesh,Christchurch,9 Oct 2022
6545,TG Southee,NZ,4.0,0,31,2,7.75,1,Pakistan,Christchurch,11 Oct 2022
6546,Simi Singh,IRE,3.0,0,31,2,10.33,1,Zimbabwe,Hobart,17 Oct 2022
6547,BFW de Leede,NED,3.0,0,31,2,10.33,1,Sri Lanka,Geelong,20 Oct 2022
6548,SM Curran,ENG,3.0,0,31,2,10.33,1,Ireland,Melbourne,26 Oct 2022
6549,Rashid Khan,AFG,4.0,0,31,2,7.75,2,Sri Lanka,Brisbane,1 Nov 2022
6550,IS Sodhi,NZ,4.0,0,31,2,7.75,2,Ireland,Adelaide,4 Nov 2022
6551,Walter Behr,GER,4.0,0,31,2,7.75,1,Italy,Almeria,4 Nov 2022
6552,Anik Ahmed,ITA,4.0,0,31,2,7.75,2,Spain,Almeria,5 Nov 2022
6553,CA Keita,Mali,4.0,0,31,2,7.75,1,Malawi,Rwanda,21 Nov 2022
6554,Rizwan Butt,BHR,4.0,0,31,2,7.75,1,Saudi Arabia,Al Amerat,21 Nov 2022
6555,GBW Munaweera,QAT,4.0,0,31,2,7.75,1,Singapore,Bangi,15 Dec 2022
6556,Muhammad Tanveer,QAT,3.4,0,31,2,8.45,2,Malaysia,Bangi,16 Dec 2022
6557,I Ntirenganya,RWN,4.0,0,31,2,7.75,1,Uganda,Rwanda,16 Dec 2022
6558,Umran Malik,IND,3.0,0,31,2,10.33,2,Sri Lanka,Rajkot,7 Jan 2023
6559,MG Bracewell,NZ,4.0,0,31,2,7.75,2,India,Ranchi,27 Jan 2023
6560,Zawar Farid,UAE,4.0,0,31,2,7.75,1,Afghanistan,Abu Dhabi,18 Feb 2023
6561,SS Cottrell,WI,3.0,0,31,2,10.33,1,South Africa,Centurion,25 Mar 2023
6562,Haris Rauf,PAK,4.0,0,31,2,7.75,1,New Zealand,Lahore,17 Apr 2023
6563,Utkarsh Jain,CAM,4.0,0,31,2,7.75,2,Singapore,Phnom Penh,4 May 2023
6564,Amar Sharma,MLT,4.0,0,31,2,7.75,2,Gibraltar,Gibraltar,7 May 2023
6565,JJ Griffin,IOM,4.0,0,31,2,7.75,1,Austria,Castletown,9 Jul 2023
