,Player_Name,Country,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
7440,Yasim Murtaza,HKG,26,0,28,2,1,92.85,1,Singapore,Al Amerat,20 Aug 2022
7441,SJ Cotter,Samoa,26,0,18,4,1,144.44,2,Cook Islands,Port vila,9 Sep 2022
7442,Mohammad Nawaz,3,26,0,18,1,2,144.44,1,Sri Lanka,Dubai (DICS),9 Sep 2022
7443,NM Odhiambo,KENYA,26,0,19,1,0,136.84,1,Malawi,Benoni,16 Sep 2022
7444,K Nassoro,TAN,26,0,20,1,1,130,2,Kenya,Benoni,17 Sep 2022
7445,K Waiswa,UGA,26,0,22,2,0,118.18,1,Mozambique,Benoni,18 Sep 2022
7446,AD Hales,ENG,26,0,21,3,1,123.8,1,Pakistan,Karachi,22 Sep 2022
7447,DJ Malan,ENG,26,0,18,5,0,144.44,2,Pakistan,Lahore,30 Sep 2022
7448,I Takahashi,JPN,26,0,31,3,0,83.87,1,Indonesia,Sano,11 Oct 2022
7449,Jun Hyunwoo,SKOR,26,0,21,2,2,123.8,2,Japan,Sano,15 Oct 2022
7450,SJ Baard,NAM,26,0,24,2,0,108.33,1,Sri Lanka,Geelong,16 Oct 2022
7451,DM de Silva,SL,26,0,23,3,0,113.04,1,Australia,Perth,25 Oct 2022
7452,Ibrahim Zadran,AFG,26,0,33,2,0,78.78,2,Australia,Adelaide,4 Nov 2022
7453,V Kohli,IND,26,0,25,2,0,104,1,Zimbabwe,Melbourne,6 Nov 2022
7454,JC Buttler,ENG,26,0,17,3,1,152.94,2,Pakistan,Melbourne,13 Nov 2022
7455,M Spoors,CAN,26,0,29,3,0,89.65,2,Bahrain,Al Amerat,14 Nov 2022
7456,Pargat Singh,CAN,26,0,17,1,2,152.94,2,Bahrain,Al Amerat,14 Nov 2022
7457,O Tuyisenge,RWN,26,0,20,2,2,130,2,Botswana,Rwanda,17 Nov 2022
7458,Sandeep Goud,OMA,26,0,14,0,3,185.71,1,Canada,Al Amerat,20 Nov 2022
7459,Samir Patel,LES,26,0,14,5,0,185.71,2,Malawi,Kigali,25 Nov 2022
7460,C Forbes,SWZ,26,0,15,3,1,173.33,1,Cameroon,Kigali,8 Dec 2022
7461,Manpreet Singh,SGP,26,0,16,3,1,162.5,2,Malaysia,Bangi,22 Dec 2022
7462,Haider Butt,BHR,26,0,20,2,0,130,2,Malaysia,Bangi,23 Dec 2022
7463,Shivam Mavi,IND,26,0,15,2,2,173.33,2,Sri Lanka,Pune,5 Jan 2023
7464,HT Tector,IRE,26,0,21,2,1,123.8,2,Zimbabwe,Harare,14 Jan 2023
7465,A Ferguson,Arg,26,0,22,4,0,118.18,2,Bermuda,Buenos Aires,22 Feb 2023
7466,T Manders,BER,26,0,20,3,1,130,1,Cayman,Buenos Aires,25 Feb 2023
7467,P Baron,Arg,26,0,25,3,0,104,1,Bahamas,Buenos Aires,2 Mar 2023
7468,S Muniandy,MAS,26,0,30,2,0,86.66,1,Hong Kong,Mong Kok,11 Mar 2023
7469,PV Vuniwaqa,Fiji,26,0,19,1,2,136.84,1,Samoa,Suva,14 Mar 2023
7470,N Acawei,Fiji,26,0,20,3,1,130,2,Vanuatu,Suva,16 Mar 2023
7471,UT Kaisala,Samoa,26,0,27,2,1,96.29,2,Fiji,Suva,18 Mar 2023
7472,R Ravindra,NZ,26,0,13,2,2,200,2,Sri Lanka,Auckland,2 Apr 2023
7473,CJ Bowes,NZ,26,0,24,3,0,108.33,2,Pakistan,Lahore,15 Apr 2023
7474,K Suttisan,THA,26,0,33,3,0,78.78,2,Indonesia,Phnom Penh,1 May 2023
7475,RR Sharan,CAM,26,0,37,2,0,70.27,1,Malaysia,Phnom Penh,11 May 2023
7476,Luqman Butt,CAM,26,0,11,1,3,236.36,1,Malaysia,Phnom Penh,11 May 2023
7477,Syed Aziz,MAS,26,0,17,4,0,152.94,2,Cambodia,Phnom Penh,11 May 2023
7478,Lucky Ali,DEN,26,0,24,1,0,108.33,1,Finland,Brondby,18 May 2023
7479,Junaid Mehmood,NOR,26,0,21,3,0,123.8,1,Finland,Glostrup,19 May 2023
7480,Imal Zuwak,SWE,26,0,13,5,0,200,1,Norway,Glostrup,19 May 2023
7481,W Niyitanga,RWN,26,0,35,2,0,74.28,1,Kenya,Nairobi (Gym),9 Jun 2023
7482,VB Chikkannaiah,GER,26,0,17,4,0,152.94,1,Belgium,Krefeld,9 Jun 2023
7483,V Ravindran,HUN,26,0,24,3,1,108.33,2,Czech Rep.,Vinor,10 Jun 2023
