Player,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
J Baker,88,1,61,6,3,144.26,1,Bahamas,George Town,2025-04-24
Chirag Suri,88,0,61,9,2,144.26,1,Kuwait,Al Amerat,2022-08-21
Mohammad Rizwan,88,0,67,9,1,131.34,1,England,Karachi,2022-09-25
TL Seifert,88,0,48,10,3,183.33,2,Sri Lanka,Queenstown,2023-04-08
Karanbir Singh,88,0,49,8,7,179.59,2,France,Stockholm,2025-08-09
S Houghton,88,0,54,8,4,162.96,1,Hungary,Szodliget,2025-08-29
Sumeet Verma,88,0,41,3,8,214.63,1,Malawi,Harare,2025-10-02
Babar Azam,87,1,59,7,3,147.45,1,England,Lahore,2022-09-30
M Campopiano,87,1,57,6,4,152.63,1,Spain,Almeria,2022-11-06
MS Chapman,87,1,42,9,4,207.14,2,Pakistan,Rawalpindi,2024-04-21
PD Salt,87,1,47,7,5,185.1,2,West Indies,Gros Islet,2024-06-19
Fiaz Ahmed,87,1,55,9,2,158.18,1,Singapore,Singapore,2025-02-28
Ibrahim Zadran,87,1,56,8,3,155.35,1,West Indies,Dubai (DICS),2026-01-19
Sikandar Raza,87,0,40,8,5,217.5,1,Singapore,Bulawayo,2022-07-11
G Mckeon,87,0,51,9,5,170.58,1,Estonia,Kerava,2022-07-30
Imran Anwar,87,0,52,6,7,167.3,2,Kuwait,Mong Kok,2023-03-11
J Butler,87,0,67,4,5,129.85,1,Germany,Deventer,2023-08-15
RR Hendricks,87,0,51,6,6,170.58,2,West Indies,Kingston,2024-05-23
LS Livingstone,87,0,47,6,5,185.1,2,Australia,Cardiff,2024-09-13
TP Ura,86,1,34,2,10,252.94,2,Malaysia,Kirtipur,2022-04-01
BA Pai,86,1,59,11,1,145.76,1,Bulgaria,Marsa,2022-05-13
R Satheesan,86,1,43,10,5,200.0,2,Bulgaria,Marsa,2022-05-13
AD Hales,86,1,47,4,7,182.97,2,India,Adelaide,2022-11-10
NA Greenwood,86,1,56,10,1,153.57,1,Germany,Edinburgh,2023-07-25
JM Bairstow,86,1,60,8,4,143.33,1,New Zealand,Manchester,2023-09-01
RR Sharan,86,1,63,5,6,136.5,2,Indonesia,Bali,2023-11-21
S Ravichandran,86,1,43,9,3,200.0,1,Mongolia,Sano,2024-05-11
Karanbir Singh,86,1,48,10,6,179.16,2,Norway,Vinor,2025-06-10
AK Markram,86,1,47,9,3,182.97,2,West Indies,Paarl,2026-01-27
AK Markram,86,1,44,8,4,195.45,2,New Zealand,Ahmedabad,2026-02-14
Babar Hayat,86,0,45,6,7,191.11,2,P.N.G.,Bulawayo,2022-07-14
MA Jones,86,0,55,6,4,156.36,1,Ireland,Hobart,2022-10-19
Ahmed Faiz,86,0,50,4,6,172.0,1,Singapore,Bangi,2022-12-22
KJ Stagno,86,0,38,5,9,226.31,1,Portugal,Gibraltar,2023-05-04
M Coetzee,86,0,55,10,4,156.36,1,U.A.E.,Mulpani,2023-10-25
BKG Mendis,86,0,55,6,6,156.36,1,Bangladesh,Sylhet,2024-03-09
T Marumani,86,0,37,10,5,232.43,1,Seychelles,Nairobi (Gym),2024-10-19
I Liyanage,86,0,54,3,8,159.25,1,Cambodia,Doha,2024-11-23
M Levitt,86,0,53,6,5,162.26,1,Nepal,Glasgow,2025-06-19
Arun Yadav,86,0,64,11,2,134.37,1,Malawi,Blantyre,2025-07-06
Ilyas Ataullah,86,0,50,9,6,172.0,1,Bulgaria,Sofia,2025-07-10
A Sharafu,86,0,51,4,7,168.62,1,Samoa,Al Amerat,2025-10-15
Zubair Ali,86,0,58,8,4,148.27,1,Bahrain,Doha,2026-02-13
BA King,85,1,55,5,6,154.54,2,India,Lauderhill,2023-08-13
NA Greenwood,85,1,52,4,5,163.46,1,Serbia,Krefeld,2024-07-07
K Kadowaki-Fleming,85,1,64,5,3,132.81,1,Indonesia,Incheon,2024-10-05
J Mees,85,0,51,6,6,166.66,1,Malta,Marsa,2023-07-13
NA Greenwood,85,0,50,9,3,170.0,2,Guernsey,Castel,2024-06-22
SR Mukkamalla,85,0,54,7,4,157.4,1,U.A.E.,Windhoek,2024-09-30
S Ssesazi,85,0,53,6,6,160.37,1,Botswana,Rwanda,2024-12-09
Karanbir Singh,85,0,35,9,7,242.85,2,Hungary,Ilfov County,2025-06-27
M Raikes,85,0,47,10,4,180.85,2,Bulgaria,Sofia,2025-07-10
S Bau,85,0,52,13,2,163.46,2,Guernsey,Castel,2025-08-14
Zahir Mohammed,85,0,42,4,8,202.38,2,Croatia,Szodliget,2025-08-29
MR Marsh,85,0,43,9,5,197.67,2,New Zealand,Mount Maunganui,2025-10-01
PD Salt,85,0,56,11,1,151.78,1,New Zealand,Christchurch,2025-10-20
SO Hetmyer,85,0,34,7,7,250.0,1,Zimbabwe,Wankhede,2026-02-23
Chirag Suri,84,1,53,5,5,158.49,1,Nepal,Al Amerat,2022-02-12
V Aravind,84,1,52,6,5,161.53,2,Bahrain,Al Amerat,2022-02-21
Taranjeet Singh,84,1,35,7,6,240.0,2,Gibraltar,Marsa,2022-05-14
Sami Sohail,84,1,55,5,4,152.72,2,Botswana,Rwanda,2022-11-20
YBK Jaiswal,84,1,51,11,3,164.7,2,West Indies,Lauderhill,2023-08-12
Virandeep Singh,84,1,59,4,4,142.37,1,Hong Kong,Kuala Lumpur,2023-09-22
